comune,provincia,nome_museo,sito_web,statale_non_statale,omr,sistema_museale_territoriale,sistema_museale_urbano,sistema_museale_tematico,casa_museo,indirizzo,localita,ubicazione,cap,telefno,fax,email,latitudine,longitudine
56001,56,MUSEO DEL FIORE,www.museodelfiore.it,Non MIBACT,OMR,Sistema museale del lago di Bolsena,,RESINA,,PREDIO GIARDINO; 37,Frazione TORRE ALFINA,-,1021.0,763733642,763731175,info@museodelfiore.it,42.7477229,11.8630202
56001,56,Museo della città,www.museoacquapendente.it,Non MIBACT,OMR,Sistema museale del lago di Bolsena,,MUSART,,via Roma; 85,,Palazzo Vescovile,1021.0,0763 7309205,0763 711215,museo.civ.dioc@comuneacquapendente.it,42.7427749999999,11.869035
56001,56,museo della città,,Non MIBACT,OMR,Sistema museale del lago di Bolsena,,,,piazzetta dell'orologio,,Palazzo Monaldeschi,1023.0,0761 796914,,info@simulabo.it,42.7477229,11.8630202
60003,60,museo civico,-,Non MIBACT,OMR,,,PROUST,,corso Cavour; 3,-,All'interno del centro storico di Alatri,3011.0,0775459009  07754481 (Comune),775459009,comune_alatri@libero.it  culturaeturismo@comune.alatri.fr.it,41.726062,13.3437249
58003,58,museo civico- ARCHEOLOGICO DI VILLA FERRAIOLI,-,Non MIBACT,OMR,Sistema museale dei Castelli romani e prenestini MUSEUMGRANDTOUR,,,,VIALE RISORGIMENTO; 3,Albano,VILLA FERRAIOLI,41.0,69323490,69325759,museo@comune.albanolaziale.rm.it,41.7271471,12.6608336
58004,58,museo civico 'ADOLFO KLITSCHE DE LA GRANGE',www.digilander.libero.it/museoallumiere,Non MIBACT,OMR,,,RESINA,,PIAZZA DELLA REPUBBLICA; 29,Allumiere,Palazzo della Reverenda Camera Apostolica,51.0,766967793,766967793,museoallumiere@tiscali.it,42.1565471,11.9010691
57002,57,museo civico DI ARTE SACRA COLA FILOTESIO DI AMATRICE,-,Non MIBACT,OMR,,,MUSART,,VIA COLA; 47,AMATRICE,-,2012.0,074683081 int 27,746825682,museocivico@comune.amatrice.it,42.6298728,13.2878048
60006,60,MUSEO DEL TESORO DELLA CATTEDRALE E LAPIDARIO,www.anagnicattedrale.org,Non MIBACT,,,,,,VIA LEONE XIII; 5,-,C/o Cattedrale di Anagni,3012.0,775728374,7755728374,anagnicattedrale@libero.it,41.742697,13.1622
60006,60,MOSTRA PERMANENTE 'TOMMASO GISMONDI',-,Non MIBACT,,,,,,PIAZZA INNOCENZO III; 25,-,-,3012.0,775727856,775727856,-,41.742993,13.161588
58005,58,MUSEO STORICO DELLA CIVILTA' CONTADINA E DELLA CULTURA POPOLARE 'AUGUSTO MONTORI',www.parcodeilaghi.it/museo/visitamuseo.htm,Non MIBACT,,,,,,TORRE ORSINI; SNC,Anguillara Sabazia,Giardini del Torrione,61.0,699608241,69994096,associazionesabate@tiscali.it,42.0914785999999,12.2715458
58006,58,CIVICO MUSEO D'ARTE MODERNA E CONTEMPORANEA,-,Non MIBACT,,Sistema MEDANIENE,,,,PIAZZA SANTA VITTORIA; 2,Anticoli Corrado,Edificio,22.0,774936657,774936657,museoanticoli@hotmail.it,42.01028,12.9882
57003,57,MUSEO STORICO MILITARE ALPINI - FORZE ARMATE - ALPINO CAV. EMANUELE GALGANI,www.comunediantrodoco.it,Non MIBACT,,,,,,VIA DEL PONTE; 8,ANTRODOCO,PALAZZO BLASETTI,2013.0,0746-578185,0746-578623,culturaesport@comunediantrodoco.it,42.417383,13.080082
57003,57,MUSEO DELLA CITTA' LIN DELIJA E CARLO CESI,www.museoantrodoco.it,Non MIBACT,OMR,,,MUSART,,CORSO ROMA; 9,ANTRODOCO,-,2013.0,746578379,746578623,culturaesport@comunediantrodoco.it,42.4173319999999,13.07929
58007,58,MUSEO DELLO SBARCO DI ANZIO,www.sbarcodianzio.it,Non MIBACT,,,,,,VIA DI VILLA ADELE; SNC,Anzio,Villa Adele,42.0,69848059,69848059,info@sbarcodianzio.it,41.4495955,12.6197253
58007,58,museo civico ARCHEOLOGICO,www.regione.lazio.it/musei/anzio/index.php,Non MIBACT,OMR,,,PROUST,,VIA DI VILLA ADELE; 2,Anzio,Villa Adele,42.0,698499479,698499408,museoarcheologico@comune.anzio.roma.it,41.4503517,12.6302093
60007,60,MUSEO DELLA CITTA',-,Non MIBACT,OMR,,,PROUST,,VIA LATINA ANTICA; SNC,-,-,3031.0,776729061,0776728603 / 0776729,museoaquino@libero.it  museoaquino@virgilio.it,41.4993641,13.7039714
60008,60,MUSEO TERRITORIALE 'GENTE DI CIOCIARIA',www.xvcomunitamontanalazio.it,Non MIBACT,,,,,,PIAZZA UMBERTO I; SNC,-,-,3032.0,776523171,776524092,info@xvcomunitamontanalazio.it,41.5855679,13.5730857
